"id","year","as_cafe","ac_cafe","p_cafe","mar_temp","aug_temp","mar_prec","aug_prec","dem","alt_d"
15022,2007,18,18,7.2,16.58,16.0723076923077,183.8,237.553846153846,2085.5075,1
15022,2008,7,7,2.8,16.1384615384615,16.2046153846154,50.2923076923077,179.676923076923,2085.5075,1
15022,2009,7,7,2.8,16.6523076923077,16.8738461538462,111.4,109.738461538462,2085.5075,1
15022,2010,11,7,2.8,18.3092307692308,16.4507692307692,169.138461538462,225.384615384615,2085.5075,1
15022,2011,11,6,2.4,16.4353846153846,16.3923076923077,122.276923076923,109.830769230769,2085.5075,1
15022,2012,32,2,1.2,16.7030769230769,16.6461538461539,122.815384615385,138.476923076923,2085.5075,1
15022,2013,65,25,15.8743,17.76,16.48,95.3538461538461,325.876923076923,2085.5075,1
15090,2007,507,507,380,19.3405797101449,18.8855072463768,135.101449275362,235.579710144928,1664.6912,1
15090,2008,508,476,357,18.9666666666666,18.972463768116,44.9855072463768,184.115942028986,1664.6912,1
15090,2009,516,465,348.75,19.4188405797101,19.6478260869565,72.7391304347826,103.536231884058,1664.6912,1
15090,2010,526,425,369.75,21.0536231884058,19.259420289855,134.391304347826,242.478260869565,1664.6912,1
15090,2011,531,430,374.1,19.1942028985507,19.2304347826087,64.4347826086957,121.202898550725,1664.6912,1
15090,2012,521,410,356.7,19.5101449275363,19.3782608695652,83.4057971014493,140.260869565217,1664.6912,1
15090,2013,461,377,211.0051,20.5768115942029,19.2130434782608,81.3913043478261,307.202898550725,1664.6912,1
15106,2007,480,420,292,18.3972602739726,18.6287671232877,151.958904109589,126.780821917808,1682,1
15106,2008,480,440,308,17.7972602739726,18.1986301369863,115.780821917808,191.520547945205,1682,1
15106,2009,440,420,168,18.0191780821918,19.5164383561644,120.671232876712,50.0821917808219,1682,1
15106,2010,170,140,56,20.3095890410959,19.1027397260274,81.6712328767123,100.890410958904,1682,1
15106,2011,410,390,58.5,18.4301369863014,19.1068493150685,142.561643835616,84.1506849315068,1682,1
15106,2012,190,120,14.4,18.927397260274,19.3520547945205,106.684931506849,52.5342465753425,1682,1
15106,2013,494,477,267.1644,19.6534246575342,19.2246575342466,135.657534246575,197.849315068493,1682,1
15109,2007,470,350,230,16.5569230769231,16.6653846153846,139.084615384615,118.361538461538,2084.2868,1
15109,2008,420,397,397.375,15.9269230769231,16.3476923076923,109.184615384615,174.661538461538,2084.2868,1
15109,2009,427,400,160,16.1815384615385,17.5546153846154,109.369230769231,50.3692307692308,2084.2868,1
15109,2010,307,307,214.9,18.4769230769231,17.1223076923077,70.5076923076923,92.6615384615385,2084.2868,1
15109,2011,290,212,84.8,16.5446153846154,17.1192307692307,122.6,77.5076923076923,2084.2868,1
15109,2012,424,382,382,16.9892307692308,17.4015384615385,104.330769230769,53.2307692307692,2084.2868,1
15109,2013,443,355,227.3866,17.7953846153846,17.28,120.6,183.469230769231,2084.2868,1
15185,2007,585,485,485,17.3278074866311,17.4684491978609,184.299465240642,140.754010695187,1877.8449,1
15185,2008,610,510,510,16.7245989304812,17.0347593582888,156.903743315508,191.748663101604,1877.8449,1
15185,2009,535,465,465,16.8989304812834,18.2513368983957,164.657754010695,56.4866310160428,1877.8449,1
15185,2010,535,465,465,19.0764705882353,17.9368983957219,109.51871657754,131.208556149733,1877.8449,1
15185,2011,548,476,428.4,17.1620320855615,17.803743315508,147.534759358289,107.83422459893,1877.8449,1
15185,2012,415,80,60,17.6117647058824,17.9155080213903,110.262032085562,62.0748663101604,1877.8449,1
15185,2013,469,386,216.029,18.4096256684492,17.9005347593583,188.68449197861,289.55614973262,1877.8449,1
15212,2007,385,290,185,19.9392045454546,20.0914772727273,125.676136363636,101.028409090909,1492.6102,0
15212,2008,341,270,144,19.3079545454545,19.8045454545455,99.9147727272727,156.4375,1492.6102,0
15212,2009,352,326,163,19.5471590909091,21.0107954545455,102.113636363636,45.1875,1492.6102,0
15212,2010,359,347,190.85,21.8948863636364,20.51875,61.2784090909091,77.8693181818182,1492.6102,0
15212,2011,359,320,192,19.9409090909091,20.6176136363637,143.289772727273,67.3409090909091,1492.6102,0
15212,2012,389,377,199.81,20.4295454545455,20.8806818181818,95.2556818181818,46.3125,1492.6102,0
15212,2013,307,241,96.25,21.2136363636363,20.7494318181818,104.835227272727,151.522727272727,1492.6102,0
