"id","year","as_cafe","ac_cafe","p_cafe"
5145,2010,1506,1026,1026
5145,2011,1500,1000,825
5145,2012,1500,1000,950
5145,2013,879,728,362.618
5148,2007,470,470,329
5148,2008,470,470,329
5148,2009,470,415,249
5148,2010,365,285,171
5148,2011,305,190,140
5148,2012,305,140,112
5148,2013,218,183,91.8325
5190,2007,259,231,231
5190,2008,280,265,265
5190,2009,250,220,132
5190,2010,246,236,141.6
5190,2011,240,210,115
5190,2012,206,196,147
5190,2013,174,158,138.0378
5197,2007,1510,1473,1473
5197,2008,1459,1419,794.6
5197,2009,1386,1264,758.4
5197,2010,1428,1248,748.8
5197,2011,1132,1022,613.2
5197,2012,1132,1022,613.2
5197,2013,1016,864,486.5164
5206,2007,114,98,97
5206,2008,115,98,98
5206,2009,115,59,88.5
5206,2010,143,121,151.3
5206,2011,148,107,133.75
5206,2012,153,119,89.25
5206,2013,217,165,133.8877
5209,2007,5578,5012,6182
5209,2008,5608,5148,6178
5209,2009,5659,4251,4782
5209,2010,6488,4846,5814.6001
5209,2011,6788,4459,7803.25
5209,2012,6838,5338,4003.5
5209,2013,7296,5785,7963.4194
5212,2007,142,142,99.4
5212,2008,142,140,98
5212,2009,142,140,98
5212,2010,142,90,63
5212,2011,142,90,63
5212,2012,142,141,105.75
5212,2013,103,87,38.0635
5237,2007,174,170,212.5
5237,2008,177,155,193.8
5237,2009,177,177,221.3
5237,2010,182,169,147.9
5237,2011,197,156,136.5
5237,2012,148,130,114.4
5237,2013,313,254,142.9086
5240,2007,2015,1200,1344
5240,2008,2105,2025,1417.5
5240,2009,2105,2025,1417.5
5240,2010,2105,2105,1473.5
5240,2011,2000,1800,1150
5240,2012,2000,1900,1425
5240,2013,2049,1732,1625.6307
5282,2007,2497,2197,2856.1001
5282,2008,2762,2527,2527
5282,2009,2150,1862,1794
5282,2010,2284,2116,2115.8999
5282,2011,2312,2030,2061
5282,2012,2462,2080,2161
5282,2013,2600,1849,2313.4058
5306,2007,659,582,698.4
5306,2008,700,590,708
5306,2009,727,692,643.6
5306,2010,797,699,650.1
5306,2011,765,713,520
5306,2012,951,720,654
5306,2013,733,639,440.0565
5308,2007,379,379,426
5308,2008,411,368,414
5308,2009,411,396,446
5308,2010,412,403,604.5
5308,2011,363,351,350.9
5308,2012,363,265,198.75
5308,2013,274,221,207.0698
5310,2007,754,690,776.8
5310,2008,787,587,645.7
5310,2009,795,706,776.6
5310,2010,818,665,731.5
5310,2011,810,650,610
5310,2012,829,733,439.8
5310,2013,829,642,321.2167
5313,2007,926,853,639.8
5313,2008,997,960,518.4
5313,2009,997,907,489.8
5313,2010,987,897,224.3
5313,2011,962,942,235.5
5313,2012,210,195,195
5313,2013,339,290,199.4767
5315,2007,622,577,519.3
5315,2008,711,595,536
5315,2009,626,524,533
5315,2010,541,453,533
5315,2011,540,415,420
5315,2012,548,400,300
5315,2013,539,402,301.6649
5321,2007,45,45,46
5321,2008,45,45,40
5321,2009,50,45,29.7
5321,2010,50,45,29.7
5321,2011,50,45,29.7
5321,2012,15,0,0
5321,2013,34,32,18.3007
5347,2007,1264,960,864
5347,2008,1264,1264,1137.6
5347,2009,1265,1254,1128.6
5347,2010,1240,1189,1070.1899
5347,2011,1245,1064,900
5347,2012,1244,1146,1146
5347,2013,1039,873,546.1422
5353,2007,769,448,433
5353,2008,660,591,561.5
5353,2009,660,491,441.9
5353,2010,664,496,496
5353,2011,673,376,363
5353,2012,806,496,491
5353,2013,1161,871,817.8555
5364,2007,2348,2348,3170
5364,2008,2408,2055,2697
5364,2009,2392,2075,2490
5364,2010,2256,1513,2420.8
5364,2011,1856,790,1264
5364,2012,2436,1914,1435.5
5364,2013,2387,1879,2351.7964
5368,2007,2000,1810,2244.3999
5368,2008,1911,1389,1722.4
5368,2009,1914,1803,1262.1
5368,2010,1917,1693,2539.5
5368,2011,1942,1644,2050
5368,2012,1977,1632,1224
5368,2013,1700,1396,1309.7841
5376,2007,587,559,627
5376,2008,489,441,442
5376,2009,528,443,420
5376,2010,454,303,424.5
5376,2011,450,420,400
5376,2012,449,449,336.75
5376,2013,408,343,321.9042
5380,2007,76,47,37.6
5380,2008,76,76,60.8
5380,2009,66,66,59
5380,2010,56,56,44.8
5380,2011,70,70,60
5380,2012,70,70,52.5
5380,2013,50,29,27.4792
5411,2007,1250,1250,1375
5411,2008,1313,1180,899.2
5411,2009,1402,1256,678.2
5411,2010,1551,1300,1625
5411,2011,1554,1350,1100
5411,2012,1559,1200,1200
5411,2013,1766,1524,1430.118
5425,2007,243,243,109.4
5425,2008,263,233,139.8
5425,2009,273,243,145.8
5425,2010,283,263,157.8
5425,2011,293,283,160
5425,2012,323,283,169.8
5425,2013,232,168,63.1495
5440,2007,15,12,12
5440,2008,15,15,15
5440,2009,15,15,15
5440,2010,20,15,15
5440,2011,20,15,15
5440,2012,23,15,15
5440,2013,49,39,24.5448
5467,2007,1510,1450,1450
5467,2008,1910,1340,1340
5467,2009,1910,1450,1160
5467,2010,1910,1850,1480
5467,2011,1910,1300,1400
5467,2012,2030,1600,1600
5467,2013,1770,1383,951.7402
5483,2007,2973,2653,2643
5483,2008,2976,2815,3378
5483,2009,3032,2724,2043
5483,2010,2964,2826,3391.2
5483,2011,2949,2868,3100
5483,2012,3387,3267,1601.7
5483,2013,1696,1384,1385.2504
5501,2007,310,270,116.5
5501,2008,354,290,217.5
5501,2009,354,336,168
5501,2010,359,321,256.8
5501,2011,370,293,275
5501,2012,399,298,310
5501,2013,391,346,259.4604
5541,2007,480,480,472
5541,2008,421,399,398.9
5541,2009,446,402,481.8
5541,2010,509,423,507.5
5541,2011,593,349,290
5541,2012,589,450,337.5
5541,2013,371,309,289.7044
5543,2007,1233,909,1045.4
5543,2008,1365,1227,1104.3
5543,2009,1289,1215,729
5543,2010,1459,1179,1253.3
5543,2011,1304,1007,1147.98
5543,2012,1310,1202,1081.8
5543,2013,1516,1226,690.6224
5576,2007,1623,1430,1287
5576,2008,1640,1324,1429
5576,2009,1613,1208,1270
5576,2010,1613,1308,1634.8
5576,2011,1620,1404,1456
5576,2012,1740,1171,878.4
5576,2013,1834,1425,1159.0981
5607,2007,277,236,306.2
5607,2008,237,225,293
5607,2009,259,232,139.3
5607,2010,264,212,318.3
5607,2011,274,189,220
5607,2012,284,229,171.75
5607,2013,195,154,144.3689
5628,2007,1105,1096,1057.2
5628,2008,1205,1190,1142.4
5628,2009,1211,879,919
5628,2010,1396,535,668.8
5628,2011,1788,490,500
5628,2012,1988,921,690.75
5628,2013,1688,1375,1505.6686
5631,2007,151,121,118
5631,2008,134,130,144
5631,2009,118,110,116
5631,2010,116,106,158.3
5631,2011,145,130,97.5
5631,2012,69,65,48.75
5631,2013,56,52,49.2429
5642,2007,6011,4200,4720
5642,2008,6520,5529,5846
5642,2009,6554,5420,5672
5642,2010,6812,5070,5070
5642,2011,6992,5819,6000
5642,2012,7166,5143,3857.0249
5642,2013,8257,6261,7834.291
5647,2007,739,626,508
5647,2008,739,628,509.6
5647,2009,985,614,409.4
5647,2010,977,501,441.1
5647,2011,966,755,664.4
5647,2012,1034,775,681.912
5647,2013,1215,1049,656.1403
5649,2007,1627,1627,1464.3
5649,2008,1783,1751,875.5
5649,2009,1726,1540,1339.8
5649,2010,1922,1726,1501.6
5649,2011,2047,1695,1500
5649,2012,1150,1035,776.25
5649,2013,876,614,461.0569
5652,2007,476,476,417
5652,2008,476,476,417
5652,2009,496,371,242
5652,2010,435,325,292.8357
5652,2011,397,370,310
5652,2012,92,21,23.856
5652,2013,365,270,118.1016
5656,2007,657,622,528.7
5656,2008,648,620,465
5656,2009,618,546,382.2
5656,2010,621,515,463.5
5656,2011,620,520,440
5656,2012,615,535,500
5656,2013,743,609,571.6381
5660,2007,330,320,176
5660,2008,330,302,181.2
5660,2009,355,330,198
5660,2010,374,330,198
5660,2011,370,325,170
5660,2012,365,335,190
5660,2013,275,205,101.9583
5667,2007,1260,1260,1260
5667,2008,1308,1190,817.5
5667,2009,1308,1144,543.2
5667,2010,1272,1018,483.8
5667,2011,1274,892,468.0375
5667,2012,1214,984,491.75
5667,2013,1115,853,320.1699
5670,2007,1151,1072,1093
5670,2008,1155,1119,1141.4
5670,2009,1156,1035,982.9
5670,2010,1130,935,888.3
5670,2011,1153,775,746.2287
5670,2012,1193,1143,1097.184
5670,2013,1540,1277,798.8167
5679,2007,1400,1317,1377
5679,2008,1770,1050,1175
5679,2009,2765,1465,1498
5679,2010,2665,1770,1947
5679,2011,2684,2005,3007.6499
5679,2012,2431,1260,945
5679,2013,2548,1932,1329.9011
5686,2007,610,610,620
5686,2008,620,610,488
5686,2009,638,593,567
5686,2010,702,240,338.4
5686,2011,700,250,300
5686,2012,696,657,492.75
5686,2013,792,627,509.7186
5690,2007,1334,1249,1498.8
5690,2008,1339,1124,1348.8
5690,2009,1340,1212,1090.8
5690,2010,1408,1226,1103.4
5690,2011,1407,1233,1232.8
5690,2012,1422,1113,1224.08
5690,2013,1329,1116,837.8909
5756,2007,3660,3000,3600
5756,2008,3580,3455,4146
5756,2009,3430,2970,2970
5756,2010,3410,2530,2530
5756,2011,3398,2698,2967.8
5756,2012,3383,3013,2448.0625
5756,2013,2760,2157,1754.0262
5761,2007,1038,978,1173.6
5761,2008,982,938,750.4
5761,2009,985,924,646.8
5761,2010,1005,886,1063.2
5761,2011,1020,915,1281
5761,2012,1032,925,693.75
5761,2013,1107,865,811.7147
5789,2007,2657,1519,1701.9
5789,2008,2645,1900,2165
5789,2009,2825,2231,2289
5789,2010,2823,2083,2707.8999
5789,2011,2833,2480,3223.74
5789,2012,2843,2633,2764.23
5789,2013,2018,1678,1364.4858
5792,2007,1041,951,1142
5792,2008,1060,874,1049
5792,2009,1038,847,826
5792,2010,1054,800,800
5792,2011,1020,835,1001.796
5792,2012,1080,686,514.575
5792,2013,1093,821,770.6772
5809,2007,613,569,779.5
5809,2008,581,526,499.7
5809,2009,567,490,539
5809,2010,568,482,627.3
5809,2011,717,464,417
5809,2012,575,474,474
5809,2013,584,517,453.2762
5819,2007,498,289,232
5819,2008,338,128,128
5819,2009,336,94,94
5819,2010,1004,979,979
5819,2011,981,878,800
5819,2012,1071,874,972
5819,2013,1048,938,880.2437
5842,2007,1206,1176,729.1
5842,2008,1206,1176,729.1
5842,2009,1206,1171,936.8
5842,2010,1271,1166,932.8
5842,2011,1271,1000,700
5842,2012,1271,1050,850
5842,2013,744,654,327.2123
5856,2007,721,660,734
5856,2008,654,583,690
5856,2009,498,452,523
5856,2010,506,428,642
5856,2011,514,436,524
5856,2012,564,466,349.5
5856,2013,609,501,470.4306
5858,2007,530,516,619.2
5858,2008,396,354,283.2
5858,2009,461,350,175
5858,2010,525,338,304.2
5858,2011,520,509,356.3
5858,2012,530,520,390
5858,2013,536,455,227.8569
5861,2007,711,653,586.3
5861,2008,690,554,765.1
5861,2009,684,604,920.6
5861,2010,686,582,873.75
5861,2011,702,553,840
5861,2012,706,504,378.375
5861,2013,768,547,615.9614
5885,2007,218,128,64
5885,2008,253,158,79
5885,2009,283,228,114
5885,2010,321,263,131.5
5885,2011,331,263,131.5
5885,2012,331,301,150.5
5885,2013,455,372,185.5504
5887,2007,404,350,350
5887,2008,275,259,323.3
5887,2009,303,268,295.2
5887,2010,339,244,268.8
5887,2011,359,249,311.75
5887,2012,359,270,202.8
5887,2013,396,344,322.8708
15022,2007,18,18,7.2
15022,2008,7,7,2.8
15022,2009,7,7,2.8
15022,2010,11,7,2.8
15022,2011,11,6,2.4
15022,2012,32,2,1.2
15022,2013,65,25,15.8743
15090,2007,507,507,380
15090,2008,508,476,357
15090,2009,516,465,348.75
15090,2010,526,425,369.75
15090,2011,531,430,374.1
15090,2012,521,410,356.7
15090,2013,461,377,211.0051
15106,2007,480,420,292
15106,2008,480,440,308
15106,2009,440,420,168
15106,2010,170,140,56
15106,2011,410,390,58.5
15106,2012,190,120,14.4
15106,2013,494,477,267.1644
15109,2007,470,350,230
15109,2008,420,397,397.375
15109,2009,427,400,160
15109,2010,307,307,214.9
15109,2011,290,212,84.8
15109,2012,424,382,382
15109,2013,443,355,227.3866
15185,2007,585,485,485
15185,2008,610,510,510
15185,2009,535,465,465
15185,2010,535,465,465
15185,2011,548,476,428.4
15185,2012,415,80,60
15185,2013,469,386,216.029
15212,2007,385,290,185
15212,2008,341,270,144
15212,2009,352,326,163
15212,2010,359,347,190.85
15212,2011,359,320,192
15212,2012,389,377,199.81
15212,2013,307,241,96.25
15325,2007,297,295,355
15325,2008,327,315,378
15325,2009,330,320,384
15325,2010,440,423,211.5
15325,2011,438,380,190
15325,2012,317,295,177
15325,2013,342,319,127.5905
15377,2007,600,600,420
15377,2008,205,190,71
15377,2009,220,175,87.5
15377,2010,255,120,60
15377,2011,347,50,30
15377,2012,39,20,10
15377,2013,52,37,23.7667
15401,2007,270,260,229
15401,2008,75,69,69
15401,2009,86,80,64
15401,2010,40,30,30
15401,2011,2,2,3
15401,2012,22,2,2
15401,2013,109,82,52.366
15442,2007,523,408,286
15442,2008,544,529,370
15442,2009,335,335,134
15442,2010,327,300,163
15442,2011,217,197,98.5
15442,2012,211,208,124.8
15442,2013,348,297,163.2907
15455,2007,750,692,519
15455,2008,749,675,608
15455,2009,755,655,589.5
15455,2010,805,725,725
15455,2011,824,742,568
15455,2012,824,674,337
15455,2013,972,748,478.8728
15469,2007,2650,2350,2350
15469,2008,2663,2478,2478
15469,2009,2729,2474,2449.26
15469,2010,2494,1784,1159.6
15469,2011,2494,1645,1100
15469,2012,1570,324,324
15469,2013,1858,1554,994.8902
