"MPIO_CCDGO","prec_mar","prec_aug","tmax_mar","tmax_aug","tmin_mar","tmin_aug"
"25513","111.235294117647","102.529411764706","23.45882359673","22.4000001795152","13.4941177368164","13.5647058486938"
"25506","108","111.8","22","19.860000038147","12.8999998092651","12.5599998474121"
"25491","139","118.5","28.7750000953674","28.7750000953674","18.7999997138977","18.7750000953674"
"25489","131.5","164.5","28.6999998092651","28.8000001907349","18.8500003814697","18.8999996185303"
"25488","135.272727272727","123.272727272727","32.8909086747603","32.5909092643044","21.99090905623","21.6272730393843"
"25580","149.7","102.7","30.4000003814697","30.4800001144409","19.8799999237061","20.0399997711182"
"25592","140.25","138.25","28.9250001907349","29.125","18.9750003814697","19.0500001907349"
"25594","99","203.333333333333","22.3333336512248","19.516666730245","12.1166666348775","12.0833333333333"
"25596","145.25","115.5","27.8625001907349","27.375","17.7624999284744","17.8250000476837"
"25524","128","126.75","27.4250001907349","25.9499998092651","17.6749997138977","17.1249997615814"
"25518","129.555555555556","161.444444444444","28.15555551317","27.6666668785943","18.7777779897054","18.3555556403266"
"25599","141.571428571429","139.428571428571","32.8285718645368","32.7142865317208","21.3428568158831","21.3428570883615"
"25645","111.6","112.4","23.4200004577637","21.9200000762939","13.639999961853","13.7"
"25649","91.3333333333333","122","18.725000222524","16.1666666666667","9.35000000397364","9.27499999602636"
"25653","112.714285714286","92.3571428571429","22.7714283806937","21.400000163487","12.7214287008558","12.8499998024532"
"25658","104","87","22.7400001525879","21.5399997711182","12.6599998474121","13.0200000762939"
"25662","151.058823529412","116.470588235294","30.3941174675437","30.5529411540312","20.0764705433565","20.1235294342041"
"25718","141.8","114.6","26.5200004577637","26","16.6599998474121","16.8399997711182"
"25743","113.25","106.125","22.8374998569489","21.0250000953674","13.0000001192093","13.0124999284744"
"25095","143","100.666666666667","27.0999997456868","26.7333335876465","17.2666670481364","17.3333326975505"
"25086","141.5","109.75","33.9999995231628","33.8874998092651","22.5625002384186","22.2999999523163"
"25053","109.625","132.5","23.0749998092651","21.2000000476837","13.4125000238419","13.1000002622604"
"25040","134","100.666666666667","24.7333335876465","23.7833334604899","14.9166665077209","15.0333331425985"
"25035","140.8","163.8","31.8799999237061","31.5799999237061","20.5400001525879","20.5600002288818"
"25148","153.740740740741","179.592592592593","30.0629629205774","30.2407406700982","20.381481523867","20.1629631607621"
"25151","94.8333333333333","191.333333333333","25.2166668574015","22.3500003814697","14.1166666348775","14.1500000953674"
"25168","155.666666666667","124.5","29.6166667938232","29.9166660308838","19.6000003814697","19.7833331425985"
"25019","123.666666666667","99","24.4000002543132","23.5333334604899","14.5666669209798","14.8333330154419"
"25123","134.5","114","28","27.4499998092651","18","18"
"25120","87.7","119","18.4749999046326","15.8199999809265","9.09000000953674","8.90000004768372"
"25245","131.5","131.666666666667","26.8666664759318","25.8833332061768","17.0000001589457","16.8499997456868"
"25258","136.75","185.625","27.5125002861023","27.0249998569489","18.0375003814697","17.4874999523163"
"25281","96","153","21.9000003814697","19","11.4","11.439999961853"
"25823","138","205.2","27.4","26.7800003051758","18.0999996185303","17.4599998474121"
"25777","113.857142857143","103","23.2142854418073","22.1857141767229","13.3857142584664","13.6285712378366"
"25815","135.909090909091","136.090909090909","33.5181817141446","33.5545458360152","21.9818179390647","21.99090905623"
"25807","99","214.5","23.8000001907349","21.0500001907349","13.25","13.0500001907349"
"25862","130.714285714286","128.142857142857","27.1428574153355","26.7714287894113","17.5857144764491","17.3428570883615"
"25867","132.8","105.6","26","25.6599998474121","16.4400001525879","16.6400003433228"
"25871","117","128","25.4666665395101","24.7666670481364","16.0999997456868","16.0333331425985"
"25875","143.142857142857","112.571428571429","28.9285717010498","29.1000003814697","18.8142860957554","19.0428575788225"
"25878","134.875","131.75","29.1500000953674","28.2625000476837","18.8250000476837","18.4999997615814"
"25805","130.25","123.75","27.1000003814697","25.875","17.4249997138977","17.0750000476837"
"25898","109","83.3333333333333","21.2999998728434","19.5666669209798","11.0666666030884","11.1666666666667"
"25797","146","171","29.8000001907349","29.1999998092651","19.1999998092651","19.1499996185303"
"25885","145.914893617021","190.765957446808","30.221276709374","30.0744678010332","20.7978724215893","20.4808510313643"
"25299","90.8333333333333","248.166666666667","22.6333332061768","19.9166666666667","12.1999999682109","12.2833334604899"
"25297","96.0909090909091","238.272727272727","22.3454546494917","19.6000002947721","11.8636363636364","12"
"25293","94.8125","306.4375","23.5374999046326","20.7687499523163","13.5125001072884","13.3687500357628"
"25290","118.888888888889","125.888888888889","25.8666667938232","24.3777779473199","15.9666666454739","15.7222221162584"
"25320","153.111111111111","148.388888888889","31.2111112806532","31.8250001271566","21.1916667620341","21.3166665501065"
"25328","137.5","118","25.9499998092651","25.5","16.3499994277954","16.5500001907349"
"25335","110.916666666667","227.166666666667","23.4583333333333","20.9166665077209","13.808333158493","13.5500000317891"
"25368","143.111111111111","117.444444444444","33.1333332061768","33.3555552164714","21.7222222222222","21.9222223493788"
"25372","86.6666666666667","227.777777777778","20.3388890160455","17.5833332273695","10.2888888782925","10.4388888676961"
"25386","142.333333333333","147","29.2166662216187","28.733333269755","18.7333335876465","18.6833335558573"
"25394","148.777777777778","197.333333333333","27.4222221374512","27.0555557674832","18.0888892279731","17.6222220526801"
"25398","138.333333333333","177","29.1333338419596","29.25","19.2833331425985","19.1499999364217"
"25402","134.857142857143","118","26.6571426391602","26.1571429116385","16.8571428571429","16.9714287349156"
"25426","83","215.555555555556","21.8222221798367","19.1222220526801","11.2888889312744","11.4000000423855"
"25436","110.666666666667","251.833333333333","22.5666669209798","19.9833335876465","12.2333334287008","12.2333334287008"
"25438","131.189655172414","418.551724137931","29.0603447289302","26.0310344696045","19.6379309851548","18.4344826731189"
"15022","77","279","25.1999998092651","22.5","14.9499998092651","14.5999999046326"
"15090","87","356.25","27.9250001907349","25.3000001907349","16.9999997615814","16.3999996185303"
"15106","119","123","25.5400001525879","24.6799999237061","15.7200002670288","15.3599998474121"
"15109","101.6","96.8","24.0799999237061","22.7","13.5","13.3800001144409"
"15185","104.285714285714","171.428571428571","25.6857144492013","24.599999836513","13.8857142584664","13.4285714285714"
"15212","124.666666666667","131.833333333333","27.3166666030884","26.5333331425985","17.5833333333333","17.2833334604899"
"15377","64.3448275862069","287.724137931034","25.5448276914399","22.8586206107304","14.1344828441225","13.789655192145"
"15401","138","215","27.2999992370605","26.7999992370605","18.2999992370605","17.7999992370605"
"15550","59.6","254.25","25.0200000762939","22.4900000572205","13.5599999427795","13.2099999427795"
"15580","136.875","205.125","28.5750002861023","28.1749999523163","19.3874998092651","18.9625000953674"
"15761","86.3333333333333","275.666666666667","25.0999997456868","22.2999998728434","14.8000001907349","14.4666668574015"
"15897","70.4","232.3","23.1699998855591","20.7000000953674","13","12.8400000572205"
"15325","110","306.2","23.6799999237061","21.0000003814697","13.4200000762939","13.3199998855591"
"15442","125.142857142857","134.142857142857","27.8428573608398","27.1714284079415","18.0571428026472","17.8142858232771"
"15455","104","312.583333333333","23.6416665712992","21.1666667461395","13.7249999841054","13.3999998569489"
