"MPIO_CCDGO","prec_mar","prec_aug","tmax_mar","tmax_aug","tmin_mar","tmin_aug"
"25513","139.117647058824","91.8823529411765","23.9352942074046","23.3941179163316","14.4823530421538","13.7411766613231"
"25506","128.4","90.8","21.7400001525879","21.0199996948242","13.6","12.860000038147"
"25491","172","107.5","29.2750000953674","29.8000001907349","19.8499999046326","18.9250001907349"
"25489","162","148.5","29.1999998092651","29.8499994277954","19.9500007629395","19.0500001907349"
"25488","161.363636363636","104.363636363636","32.8727269606157","33.6999998959628","22.7818180431019","21.8636360168457"
"25580","181.3","91.7","30.6299995422363","31.5199998855591","20.7900003433228","20.2400001525879"
"25592","171.5","124.75","29.4500002861023","30.1500000953674","20.0250005722046","19.2249999046326"
"25594","120.333333333333","169.166666666667","22.4000002543132","20.6499999364217","13.016666730245","12.5500000317891"
"25596","175.875","102.875","28.125","28.3875000476837","18.7250000238419","18.0249999761581"
"25524","153.25","105","27.2499995231628","27.0999999046326","18.4500000476837","17.375"
"25518","160.111111111111","144.111111111111","28.7666664123535","28.6888889736599","19.7333333757189","18.5333332485623"
"25599","170.428571428571","121","32.9142853873117","33.7857142857143","22.1999999455043","21.5714285714286"
"25645","137.8","98.2","23.5400001525879","23.0200004577637","14.5399997711182","13.960000038147"
"25649","110.083333333333","100.083333333333","18.4916664759318","17.3333334128062","10.1333334048589","9.57499996821086"
"25653","139.928571428571","82.2857142857143","23.3142856870379","22.4214286804199","13.6571429797581","13.0214287894113"
"25658","130.4","78.6","23.1600002288818","22.5199996948242","13.6799997329712","13.2200000762939"
"25662","184.235294117647","105.941176470588","30.7235293668859","31.5588235294118","21.0705881679759","20.3176469241872"
"25718","175.6","104.2","26.9","27","17.7","17.0200004577637"
"25743","138.375","90.75","22.8374998569489","22.1250002384186","13.875","13.2499998807907"
"25095","174.333333333333","91.3333333333333","27.4333337148031","27.7333335876465","18.2666670481364","17.5"
"25086","171.625","98.75","34.2624998092651","34.9124999046326","23.4624998569489","22.5125000476837"
"25053","132.375","110.375","22.9375","22.3500002622604","14.1999999284744","13.4125000238419"
"25040","164.5","90.5","25.0166664123535","24.8166669209798","15.899999777476","15.2166665395101"
"25035","170","142.8","32.0400001525879","32.6400005340576","21.4399997711182","20.7599998474121"
"25148","186.333333333333","160.703703703704","30.6703704551414","31.3703705116555","21.4111111958822","20.3555554990415"
"25151","115.833333333333","160.5","25.2666670481364","23.483333269755","14.9333330790202","14.5500000317891"
"25168","190.333333333333","113.5","30.0499998728434","30.9333330790202","20.6333335240682","19.9499998092651"
"25019","152","90","24.7333329518636","24.5333334604899","15.5666669209798","15"
"25123","164.5","101.5","28.1999998092651","28.5500001907349","18.9000005722046","18.1999998092651"
"25120","103.9","95.05","18.1549999713898","17.014999961853","9.77499997615814","9.20499999523163"
"25245","160","114.666666666667","26.983333269755","26.9666665395101","17.8833333651225","17.0833331743876"
"25258","168.875","167","28.0500001907349","28.0875000953674","19.087500333786","17.6625001430511"
"25281","116.8","127.6","21.8600002288818","20.1200000762939","12.3","11.8800001144409"
"25823","170","183.6","28.0199996948242","27.8799999237061","19.0999996185303","17.6199996948242"
"25777","143","93","23.6285713740758","23.1571431841169","14.4142853873117","13.8142858232771"
"25815","163","117.909090909091","33.5909092643044","34.627272345803","22.8090912212025","22.2181821302934"
"25807","125","184","24.1999998092651","21.9499998092651","13.9499998092651","13.25"
"25862","162.571428571429","115.571428571429","27.6428574153355","27.8285715920585","18.6000001089913","17.5428570338658"
"25867","162.2","96","26.3799999237061","26.7","17.4799999237061","16.8199996948242"
"25871","145.666666666667","114.666666666667","26.0333334604899","25.7999998728434","17.1000000635783","16.1999998092651"
"25875","175.571428571429","102.142857142857","29.400000163487","30.1285719190325","19.8571428571429","19.214285169329"
"25878","162.75","112.875","29.1749997138977","29.3499999046326","19.6624999046326","18.7500001192093"
"25805","156.5","104.25","27.1000003814697","27","18.2250003814697","17.3000001907349"
"25898","134.666666666667","74.3333333333333","21.5333340962728","20.6000003814697","12.0666666030884","11.3666667938232"
"25797","178.5","150","29.9499998092651","30.25","20.1499996185303","19.3500003814697"
"25885","177.021276595745","169.702127659574","30.9297872502753","31.2234041741554","21.7829787477534","20.6702128065393"
"25299","113","211.166666666667","22.8833332061768","20.8666664759318","12.9833331108093","12.6333332061768"
"25297","120.909090909091","205.090909090909","22.627272345803","20.5272731781006","12.5727273767645","12.236363584345"
"25293","117.1875","257.625","23.78125","21.7749999761581","14.2562500238419","13.7499999403954"
"25290","143.888888888889","106.111111111111","25.8111110263401","25.5333332485623","16.7999998728434","16.011110941569"
"25320","186.75","134.361111111111","31.7138889630636","32.9000001483493","22.2361111111111","21.4888889524672"
"25328","168","107.5","26.25","26.5","17.3499994277954","16.75"
"25335","133.666666666667","186.666666666667","23.4583333333333","22.0916666984558","14.6666666666667","14.0666666030884"
"25368","172.666666666667","103.555555555556","33.3111106024848","34.4222225613064","22.5888890160455","22.1222222646077"
"25372","107.777777777778","194.166666666667","20.5555555025737","18.5999998516507","11.0833333863152","10.750000026491"
"25386","173.333333333333","129.5","29.4166669845581","29.7999998728434","19.6333335240682","18.8833332061768"
"25394","181.777777777778","177","28.0222220950656","28.1444443596734","19.133333630032","17.8000002966987"
"25398","170","159.5","29.6666669845581","30.2833331425985","20.3166666030884","19.3333330154419"
"25402","168.428571428571","107","27.0428570338658","27.1571429116385","17.91428565979","17.1714284079415"
"25426","104.777777777778","186.333333333333","22.199999915229","20.0222223069933","12.0222223069933","11.5999998516507"
"25436","139.833333333333","216.5","22.9166663487752","20.8833332061768","12.9333335558573","12.4499999682109"
"25438","159.275862068966","346.034482758621","29.289655192145","27.0793103514047","20.4413793333646","18.9499999325851"
"15022","97","236","25.5500001907349","23.4000005722046","15.6000003814697","14.8500003814697"
"15090","110.25","303.25","28.3249998092651","26.125","17.5749998092651","16.6499998569489"
"15106","146.6","109.8","26.2600002288818","25.6799999237061","16.560000038147","15.560000038147"
"15109","126","86.4","24.6799999237061","23.7","14.3999998092651","13.5800001144409"
"15185","129.571428571429","158","26.4428571973528","25.3571431296212","14.6571429116385","13.642857006618"
"15212","154.333333333333","117.166666666667","27.9166669845581","27.5499998728434","18.4833329518636","17.4666668574015"
"15377","78.5172413793103","250.448275862069","25.9482757962983","23.8724136352539","14.806896637226","14.3758621544674"
"15401","169","192","27.8999996185303","27.8999996185303","19.2000007629395","18"
"15550","73.35","223.85","25.4950000762939","23.4950000762939","14.2549999713898","13.8400000572205"
"15580","167.75","183","29.2749998569489","29.2750000953674","20.3624999523163","19.1625001430511"
"15761","109","234.666666666667","25.4000002543132","23.1999994913737","15.4333327611287","14.6999998092651"
"15897","89","199.7","23.589999961853","21.510000038147","13.5999999046326","13.0700000762939"
"15325","139","261.6","23.9800003051758","21.9","14.0800001144409","13.539999961853"
"15442","154","119.571428571429","28.5","28.2142854418073","18.971428326198","18.0142857687814"
"15455","131.833333333333","264.916666666667","24.0166668891907","22.0249999364217","14.2916666666667","13.6333332856496"
"15469","125.9","137.8","25.939999961853","24.5900001525879","14.139999961853","13.3499999046326"
"15480","156.285714285714","171.714285714286","30.5571430751256","30.599999836513","21.3142858232771","20.2285714830671"
"15507","160.045454545455","187.272727272727","31.2454544414173","31.4136364676736","22.2090910131281","21.1681818528609"
"15514","111.411764705882","318.764705882353","28.4176470812629","26.2000000897576","18.1823529075174","17.2470587562112"
"15531","153.5","139.25","29.608333269755","29.4500002861023","20.2666666507721","19.2583332061768"
"15533","77.1904761904762","279.428571428571","30.233333224342","27.985714503697","19.2809524990263","18.1285714649019"
"15660","128.6","239.4","25.1200004577637","22.9800003051758","14.8399997711182","14.2"
"15664","132.5","174.75","28.0749998092651","27.25","16.2750000953674","15.1499998569489"
"15681","159","164.375","30.4375","30.4624998569489","21.3374998569489","20.2749998569489"
"15686","156","176.666666666667","28.7333329518636","28.1333332061768","17.1333332061768","15.8333333333333"
"15690","139.214285714286","364.571428571429","29.9714284624372","27.7571424756731","20.4214285441807","19.1571428435189"
"15816","135.6","146.2","26.9","25.7799999237061","14.9200000762939","13.9200000762939"
"5001","151.733333333333","209","25.6266668955485","25.5933334350586","15.553333346049","15.093333307902"
"5101","164.416666666667","211.166666666667","27.1916667620341","26.6916667620341","16.6666666666667","16.2833333015442"
"5107","123.0625","343.8125","28.0062499046326","27.2124998569489","19.1312500834465","18.2562499642372"
"5113","120.0625","280.5625","27.2000000476837","26.2687499523163","17.09375","16.7187501192093"
"5093","141.833333333333","223.083333333333","27.7083333333333","27.3083332379659","17.1583332220713","16.8583333492279"
"5091","165","182.888888888889","24.6333332061768","24.2111110687256","14.7000001271566","14.2222219573127"
"5088","145.125","230.625","24.6999998092651","24.6124999523163","14.7749998569489","14.3000000715256"
"5079","151.25","260.75","26.7666670481364","26.7833334604899","16.8750000794729","16.2583335240682"
"5059","121.2","219.8","32.0599998474121","31.3400001525879","20.6799999237061","20.2599998474121"
"5055","203.846153846154","219.076923076923","27.4692310920128","27.3923077216515","18.3153844980093","17.2923077803392"
"5044","127.769230769231","227.076923076923","29.5076923370361","28.9384615971492","18.7692306958712","18.4153847327599"
"5042","129.333333333333","258.416666666667","28.3291665712992","27.6583332220713","17.9375000794729","17.5291664600372"
"5040","135.338461538462","391.061538461538","30.2461539635291","29.8200001056378","21.6661538637601","20.6215384263259"
"5038","132.352941176471","292.823529411765","24.9294117198271","24.458823372336","15.5000000560985","14.6823529636159"
"5036","147.4","209.6","25.3200004577637","25.2199996948242","15.6400001525879","15.139999961853"
"5034","174.368421052632","184.894736842105","23.289473483437","23.0368421454179","14.1157894636455","13.5000001003868"
"5031","144.842105263158","352.263157894737","29.85614030403","29.7035086782355","20.9999999665377","20.0333332931786"
"5030","146","219.25","28.4000000953674","28.0000004768372","17.75","17.25"
"5021","161.166666666667","278.166666666667","28.4166666666667","28.5500001907349","18.9666665395101","18.1166671117147"
"5004","130.6","247","22.4866667429606","21.9866667429606","13.1933333714803","12.8533334096273"
"5002","158.416666666667","217.458333333333","24.6625001430511","24.5291667779287","15.5291665395101","14.7000000476837"
"5887","130.75","286.888888888889","24.4722223811679","23.8722222646077","15.3166667090522","14.4861110846202"
"5885","155.347826086957","301.695652173913","30.9043477929157","30.8608695320461","21.695652173913","20.7695652505626"
"5861","142.75","230.625","31.262499332428","30.5750000476837","20.125","19.6624999046326"
"5858","147.304347826087","322.565217391304","30.9652174244756","30.9043480417003","21.8608696149743","20.9260870062787"
"5856","146.166666666667","193.833333333333","31.4333330790202","30.8833332061768","20.3833332061768","19.6499999364217"
"5842","97.0714285714286","266.714285714286","28.9928571156093","27.6571430478777","18.2928571019854","18.1285714421953"
"5819","111.428571428571","321.142857142857","29.0142857687814","27.8714286259242","19.3285715920585","18.6857147216797"
"5809","138","225.571428571429","30.8285713195801","30.1571431841169","19.6285713740758","19.2285714830671"
